"Step","cosmic-field-350 - immediate_reward","cosmic-field-350 - immediate_reward__MIN","cosmic-field-350 - immediate_reward__MAX"
"118335","0","0","0"
"118365","0","0","0"
"118710","0","0","0"
"118758","0","0","0"
"119103","0","0","0"
"119220","0","0","0"
"119312","0","0","0"
"119799","0","0","0"
"119980","0","0","0"
"120069","0","0","0"
"120176","1","1","1"
"120236","0","0","0"
"120297","1","1","1"
"120383","0","0","0"
"120472","0","0","0"
"120569","0","0","0"
"120575","0","0","0"
"120587","0","0","0"
"120670","1","1","1"
"120738","0","0","0"
"120788","0","0","0"
"121011","0","0","0"
"121053","0","0","0"
"121150","0","0","0"
"121154","1","1","1"
"121392","1","1","1"
"121682","0","0","0"
"121852","0","0","0"
"122302","0","0","0"
"122320","0","0","0"
"122763","1","1","1"
"122789","0","0","0"
"122984","0","0","0"
"123060","0","0","0"
"123139","0","0","0"
"123549","0","0","0"
"123626","0","0","0"
"124209","0","0","0"
"124328","0","0","0"
"124330","0","0","0"
"124441","0","0","0"
"124549","0","0","0"
"124567","0","0","0"
"124753","0","0","0"
"124796","0","0","0"
"124828","0","0","0"
"124996","0","0","0"
"125199","0","0","0"
"125203","0","0","0"
"125256","1","1","1"
"125440","1","1","1"
"125524","0","0","0"
"125846","0","0","0"
"125850","0","0","0"
"125892","0","0","0"
"125936","0","0","0"
"126618","0","0","0"
"126856","0","0","0"
"127253","0","0","0"
"127261","0","0","0"
"127273","1","1","1"
"127402","0","0","0"
"127430","1","1","1"
"127632","0","0","0"
"127735","0","0","0"
"127770","0","0","0"
"127864","0","0","0"
"128128","0","0","0"
"128199","0","0","0"
"128328","1","1","1"
"128627","0","0","0"
"128711","0","0","0"
"128792","1","1","1"
"128978","0","0","0"
"128984","0","0","0"
"129107","0","0","0"
"129455","0","0","0"
"129473","0","0","0"
"129739","0","0","0"
"130347","0","0","0"
"130357","0","0","0"
"130501","1","1","1"
"130555","0","0","0"
"130706","0","0","0"
"130718","0","0","0"
"130954","0","0","0"
"130981","0","0","0"
"130987","0","0","0"
"131082","0","0","0"
"131185","0","0","0"
"131223","0","0","0"
"131286","0","0","0"
"131452","0","0","0"
"131631","0","0","0"
"132200","0","0","0"
"132332","1","1","1"
"132432","1","1","1"
"132619","0","0","0"
"132670","0","0","0"
"132884","0","0","0"
"132995","0","0","0"
"133071","0","0","0"
"133397","0","0","0"
"133414","0","0","0"
"133633","0","0","0"
"134094","0","0","0"
"134102","0","0","0"
"134114","0","0","0"
"134197","0","0","0"
"134368","0","0","0"
"134443","0","0","0"
"134568","0","0","0"
"134768","1","1","1"
"134911","0","0","0"
"135044","0","0","0"
"135246","0","0","0"
"135347","0","0","0"
"135371","0","0","0"
"135714","0","0","0"
"135789","1","1","1"
"136023","0","0","0"
"136435","0","0","0"
"136449","0","0","0"
"137081","0","0","0"
"137220","0","0","0"
"137381","0","0","0"
"137404","0","0","0"
"137511","1","1","1"
"137652","0","0","0"
"138352","0","0","0"
"138459","0","0","0"
"138491","0","0","0"
"138582","0","0","0"
"138734","0","0","0"
"138752","1","1","1"
"139471","0","0","0"
"139799","1","1","1"
"139862","0","0","0"
"139967","0","0","0"
"140160","0","0","0"
"140435","0","0","0"
"141194","0","0","0"
"141406","0","0","0"
"141506","0","0","0"
"141718","0","0","0"
"141813","0","0","0"
"142029","1","1","1"
"142148","1","1","1"
"142162","0","0","0"
"142221","0","0","0"
"142247","0","0","0"
"142402","0","0","0"
"142597","0","0","0"
"143407","0","0","0"
"143504","0","0","0"
"143748","0","0","0"
"143764","0","0","0"
"143851","0","0","0"
