"Step","kind-music-2 - mean_reward","kind-music-2 - mean_reward__MIN","kind-music-2 - mean_reward__MAX"
"64697","5.9","5.9","5.9"
"64816","6.3","6.3","6.3"
"64931","6.1","6.1","6.1"
"65050","6.6","6.6","6.6"
"65207","5.2","5.2","5.2"
"65316","5.4","5.4","5.4"
"65445","6.4","6.4","6.4"
"65536","5.8","5.8","5.8"
"65643","5.3","5.3","5.3"
"65772","6.2","6.2","6.2"
"65873","5.8","5.8","5.8"
"65966","5.3","5.3","5.3"
"66117","5.7","5.7","5.7"
"66208","5.2","5.2","5.2"
"66345","5.5","5.5","5.5"
"66468","6.3","6.3","6.3"
"66603","6","6","6"
"66704","6","6","6"
"66815","6.4","6.4","6.4"
"66916","5.8","5.8","5.8"
"67019","6.3","6.3","6.3"
"67122","6.9","6.9","6.9"
"67217","5.8","5.8","5.8"
"67320","5.7","5.7","5.7"
"67445","5.3","5.3","5.3"
"67560","4.9","4.9","4.9"
"67673","4.8","4.8","4.8"
"67788","5.3","5.3","5.3"
"67911","4.9","4.9","4.9"
"68030","5","5","5"
"68137","4.7","4.7","4.7"
"68268","5.2","5.2","5.2"
"68365","5.4","5.4","5.4"
"68484","5.6","5.6","5.6"
"68591","5.5","5.5","5.5"
"68686","5.3","5.3","5.3"
"68811","5.4","5.4","5.4"
"68912","4.9","4.9","4.9"
"69009","4.6","4.6","4.6"
"69138","5","5","5"
"69229","5","5","5"
"69346","4.4","4.4","4.4"
"69439","4.3","4.3","4.3"
"69548","4.4","4.4","4.4"
"69661","4.5","4.5","4.5"
"69772","4.8","4.8","4.8"
"69871","4.2","4.2","4.2"
"69970","4","4","4"
"70081","4.3","4.3","4.3"
"70190","3.9","3.9","3.9"
"70365","5.3","5.3","5.3"
"70494","5.9","5.9","5.9"
"70593","6.1","6.1","6.1"
"70710","6.4","6.4","6.4"
"70827","6.3","6.3","6.3"
"70922","5.8","5.8","5.8"
"71045","6.5","6.5","6.5"
"71136","6.6","6.6","6.6"
"71241","6.6","6.6","6.6"
"71440","9.2","9.2","9.2"
"71621","9.9","9.9","9.9"
"71740","9.2","9.2","9.2"
"71853","9.3","9.3","9.3"
"71958","8.6","8.6","8.6"
"72057","8.4","8.4","8.4"
"72186","8.9","8.9","8.9"
"72287","8.6","8.6","8.6"
"72388","8.5","8.5","8.5"
"72487","8.6","8.6","8.6"
"72622","6.7","6.7","6.7"
"72729","4.8","4.8","4.8"
"72836","4.9","4.9","4.9"
"72951","4.9","4.9","4.9"
"73056","5.3","5.3","5.3"
"73155","5.1","5.1","5.1"
"73282","5.2","5.2","5.2"
"73393","5.2","5.2","5.2"
"73488","5.2","5.2","5.2"
"73603","5.4","5.4","5.4"
"73688","4.3","4.3","4.3"
"73783","4.1","4.1","4.1"
"73900","4.4","4.4","4.4"
"73995","4","4","4"
"74110","4","4","4"
"74227","4.5","4.5","4.5"
"74388","5.1","5.1","5.1"
"74499","5","5","5"
"74584","4.9","4.9","4.9"
"74683","4.4","4.4","4.4"
"74846","5.5","5.5","5.5"
"74933","5.6","5.6","5.6"
"75056","5","5","5"
"75193","6","6","6"
"75308","6.1","6.1","6.1"
"75397","5.6","5.6","5.6"
"75522","4.9","4.9","4.9"
"75609","4.4","4.4","4.4"
"75776","5.2","5.2","5.2"
"75867","5.3","5.3","5.3"
"75958","4.2","4.2","4.2"
"76097","4.6","4.6","4.6"
"76180","4.6","4.6","4.6"
"76279","4","4","4"
"76416","4.5","4.5","4.5"
"76529","4.9","4.9","4.9"
"76636","4.9","4.9","4.9"
"76771","5.6","5.6","5.6"
"76896","5.7","5.7","5.7"
"76995","5.9","5.9","5.9"
"77090","6","6","6"
"77225","6.1","6.1","6.1"
"77320","6.1","6.1","6.1"
"77467","6.5","6.5","6.5"
"77556","5.7","5.7","5.7"
"77675","5.7","5.7","5.7"
"77800","5.7","5.7","5.7"
"77919","5.6","5.6","5.6"
"78040","5.3","5.3","5.3"
"78159","5.2","5.2","5.2"
"78264","5.4","5.4","5.4"
"78387","5.5","5.5","5.5"
"78502","5.7","5.7","5.7"
"78619","4.9","4.9","4.9"
"78756","5.7","5.7","5.7"
"78913","6.7","6.7","6.7"
"79024","6.2","6.2","6.2"
"79173","6.9","6.9","6.9"
"79268","6.4","6.4","6.4"
"79405","7","7","7"
"79542","7.5","7.5","7.5"
"79679","7.6","7.6","7.6"
"79812","7.9","7.9","7.9"
"79897","7.8","7.8","7.8"
"79986","7.1","7.1","7.1"
"80097","6.3","6.3","6.3"
"80204","6.5","6.5","6.5"
"80323","5.5","5.5","5.5"
"80414","5.5","5.5","5.5"
"80503","4.7","4.7","4.7"
"80618","4.4","4.4","4.4"
"80749","4.3","4.3","4.3"
"80854","3.9","3.9","3.9"
"80945","4.2","4.2","4.2"
"81090","4.4","4.4","4.4"
"81193","4","4","4"
"81338","4.5","4.5","4.5"
"81431","4.4","4.4","4.4"
"81532","4.6","4.6","4.6"
"81655","5.4","5.4","5.4"
"81770","5.6","5.6","5.6"
"81865","5","5","5"
"81970","4.9","4.9","4.9"
"82111","5.8","5.8","5.8"
"82218","5.9","5.9","5.9"
"82355","6.5","6.5","6.5"
"82446","5.8","5.8","5.8"
"82567","6.2","6.2","6.2"
"82672","6.6","6.6","6.6"
"82765","5.7","5.7","5.7"
"82880","5.4","5.4","5.4"
"82995","5.4","5.4","5.4"
"83096","5.3","5.3","5.3"
"83207","4.8","4.8","4.8"
"83312","4.6","4.6","4.6"
"83459","4.6","4.6","4.6"
"83556","4.9","4.9","4.9"
"83675","4.5","4.5","4.5"
"83766","3.8","3.8","3.8"
"83865","4.1","4.1","4.1"
"83964","3.9","3.9","3.9"
"84071","4","4","4"
"84206","5","5","5"
"84319","4.7","4.7","4.7"
"84428","4.6","4.6","4.6"
"84529","4.2","4.2","4.2"
"84608","3.8","3.8","3.8"
"84721","4","4","4"
"84864","5.2","5.2","5.2"
"84985","5.2","5.2","5.2"
"85096","5.7","5.7","5.7"
"85215","6.1","6.1","6.1"
"85338","6.2","6.2","6.2"
"85447","6.3","6.3","6.3"
"85538","6.4","6.4","6.4"
"85633","6","6","6"
"85744","6.5","6.5","6.5"
"85839","6.3","6.3","6.3"
"85970","6","6","6"
"86081","6","6","6"
"86198","6.1","6.1","6.1"
"86377","7.3","7.3","7.3"
"86496","6.8","6.8","6.8"
"86609","6.5","6.5","6.5"
"86740","7.3","7.3","7.3"
"86891","7.7","7.7","7.7"
"86986","7.5","7.5","7.5"
"87081","7.6","7.6","7.6"
"87210","7.3","7.3","7.3"
"87327","7.3","7.3","7.3"
"87416","6.6","6.6","6.6"
"87531","4.9","4.9","4.9"
"87656","5.2","5.2","5.2"
"87775","5.5","5.5","5.5"
"87882","4.8","4.8","4.8"
"87977","4.6","4.6","4.6"
"88076","4.4","4.4","4.4"
"88179","4.3","4.3","4.3"
"88314","3.7","3.7","3.7"
"88465","4.4","4.4","4.4"
"88570","4.4","4.4","4.4"
"88693","4.6","4.6","4.6"
"88812","4","4","4"
"88905","3.7","3.7","3.7"
"89024","3.9","3.9","3.9"
"89123","3.7","3.7","3.7"
"89244","3.7","3.7","3.7"
"89449","5.4","5.4","5.4"
"89546","5.8","5.8","5.8"
"89633","5.1","5.1","5.1"
"89770","5.9","5.9","5.9"
"89887","6.2","6.2","6.2"
"89996","6.2","6.2","6.2"
