"Step","cosmic-field-350 - mean_reward","cosmic-field-350 - mean_reward__MIN","cosmic-field-350 - mean_reward__MAX"
"82471","5.5","5.5","5.5"
"82566","4.8","4.8","4.8"
"82747","5.4","5.4","5.4"
"82868","5.7","5.7","5.7"
"82993","6","6","6"
"83092","5.7","5.7","5.7"
"83209","5.4","5.4","5.4"
"83298","5.5","5.5","5.5"
"83395","5.9","5.9","5.9"
"83484","5.7","5.7","5.7"
"83601","5.7","5.7","5.7"
"83706","6","6","6"
"83801","5","5","5"
"83890","4.4","4.4","4.4"
"83987","3.6","3.6","3.6"
"84142","4.7","4.7","4.7"
"84259","5.3","5.3","5.3"
"84372","5.6","5.6","5.6"
"84465","5.2","5.2","5.2"
"84554","5.2","5.2","5.2"
"84647","4.5","4.5","4.5"
"84758","4.5","4.5","4.5"
"84857","4.5","4.5","4.5"
"84994","5.6","5.6","5.6"
"85085","5.6","5.6","5.6"
"85178","4.3","4.3","4.3"
"85285","3.9","3.9","3.9"
"85434","5.1","5.1","5.1"
"85557","5.7","5.7","5.7"
"85680","6.5","6.5","6.5"
"85775","6.4","6.4","6.4"
"85904","7","7","7"
"85999","6.9","6.9","6.9"
"86132","6.5","6.5","6.5"
"86235","6.8","6.8","6.8"
"86358","7.3","7.3","7.3"
"86455","7.1","7.1","7.1"
"86576","6.1","6.1","6.1"
"86669","5.8","5.8","5.8"
