"Step","kind-music-2 - immediate_reward","kind-music-2 - immediate_reward__MIN","kind-music-2 - immediate_reward__MAX"
"161144","0","0","0"
"161289","0","0","0"
"161455","0","0","0"
"161529","0","0","0"
"161652","0","0","0"
"161694","0","0","0"
"161769","0","0","0"
"161852","0","0","0"
"162009","0","0","0"
"162138","0","0","0"
"162215","0","0","0"
"162295","0","0","0"
"162358","0","0","0"
"162420","1","1","1"
"162521","0","0","0"
"163149","0","0","0"
"163633","0","0","0"
"163637","1","1","1"
"164305","0","0","0"
"164440","0","0","0"
"164999","1","1","1"
"165187","0","0","0"
"165507","0","0","0"
"165688","0","0","0"
"165973","0","0","0"
"165983","0","0","0"
"165989","0","0","0"
"165999","0","0","0"
"166149","0","0","0"
"166390","0","0","0"
"166392","0","0","0"
"166921","0","0","0"
"166971","0","0","0"
"167211","1","1","1"
"167506","0","0","0"
"167846","1","1","1"
"168487","0","0","0"
"168560","0","0","0"
"168638","0","0","0"
"168836","0","0","0"
"169136","0","0","0"
"169182","0","0","0"
"169188","0","0","0"
"169209","0","0","0"
"169267","0","0","0"
"169277","0","0","0"
"169499","0","0","0"
"169543","0","0","0"
"169749","0","0","0"
"169818","0","0","0"
"169991","0","0","0"
"170126","0","0","0"
"170227","0","0","0"
"170582","0","0","0"
"170669","0","0","0"
"170754","1","1","1"
"170907","0","0","0"
"170937","0","0","0"
"170993","0","0","0"
"171465","0","0","0"
"173444","1","1","1"
"173574","1","1","1"
"173889","0","0","0"
"173915","2","2","2"
"174073","0","0","0"
"174277","0","0","0"
"174349","0","0","0"
"174442","1","1","1"
"174452","0","0","0"
"174458","0","0","0"
"174760","1","1","1"
"175019","0","0","0"
"175168","1","1","1"
"175309","0","0","0"
"175387","1","1","1"
"175520","0","0","0"
"175576","0","0","0"
"175729","0","0","0"
"175887","0","0","0"
"176241","0","0","0"
"176293","1","1","1"
"176303","0","0","0"
"176325","0","0","0"
"176350","0","0","0"
"176972","1","1","1"
"177270","0","0","0"
"177459","0","0","0"
"177995","0","0","0"
"178243","0","0","0"
"178311","0","0","0"
"178740","0","0","0"
"178835","0","0","0"
"178903","0","0","0"
"178923","0","0","0"
"178993","0","0","0"
"179209","0","0","0"
"179228","0","0","0"
"179411","0","0","0"
"179421","0","0","0"
"179480","0","0","0"
"179538","0","0","0"
"179617","0","0","0"
"179730","0","0","0"
"179973","0","0","0"
"180022","0","0","0"
"180026","0","0","0"
"180297","0","0","0"
"180329","0","0","0"
"180426","0","0","0"
"180556","0","0","0"
"180689","0","0","0"
"180743","0","0","0"
"181017","0","0","0"
"181090","0","0","0"
"181471","0","0","0"
"181513","1","1","1"
"181612","0","0","0"
"182053","0","0","0"
"182220","0","0","0"
"182273","0","0","0"
"182498","0","0","0"
"182596","1","1","1"
"182648","0","0","0"
"183122","0","0","0"
"183300","0","0","0"
"183320","0","0","0"
"183560","0","0","0"
"183807","0","0","0"
"183916","0","0","0"
"183964","0","0","0"
"183983","0","0","0"
"184518","0","0","0"
"184708","0","0","0"
"184792","0","0","0"
"184949","0","0","0"
"185062","0","0","0"
"185390","0","0","0"
"185467","0","0","0"
"185471","0","0","0"
"186118","0","0","0"
"186160","0","0","0"
"186182","0","0","0"
"186900","0","0","0"
"187032","0","0","0"
"187447","0","0","0"
"187505","0","0","0"
"187710","0","0","0"
"188103","1","1","1"
"188125","0","0","0"
"188201","0","0","0"
"188379","0","0","0"
"188391","0","0","0"
"188431","0","0","0"
"188568","0","0","0"
"188756","0","0","0"
"189132","0","0","0"
"189377","0","0","0"
"189395","0","0","0"
"189753","0","0","0"
"190100","0","0","0"
"190130","0","0","0"
"190281","0","0","0"
"190334","0","0","0"
"190360","1","1","1"
"190483","0","0","0"
"190587","0","0","0"
"190704","0","0","0"
"190869","0","0","0"
"191141","0","0","0"
"191350","0","0","0"
"191644","0","0","0"
"191680","0","0","0"
"191698","0","0","0"
"191885","0","0","0"
"191962","0","0","0"
"192111","0","0","0"
"192135","0","0","0"
"192232","0","0","0"
"192242","0","0","0"
"192304","0","0","0"
"192316","0","0","0"
"192326","0","0","0"
"192618","0","0","0"
"192664","0","0","0"
"192783","0","0","0"
"192883","0","0","0"
"193026","0","0","0"
"193328","0","0","0"
"193491","0","0","0"
